region,Reg_ID,m49code
Rangpur,895,50
Rangpur and Dinazpur district,896,50
Rangpur and Dinazpur district,897,50
Rangpur and Dinazpur district,898,50
Rangpur and Dinazpur district,899,50
Rangpur,900,50
Rangpur,901,50
Rangpur and Dinazpur district,902,50
Rangpur,903,50
Rangpur,904,50
Rangpur,905,50
Rangpur and Dinazpur district,906,50
Rangpur and Dinazpur district,907,50
Rangpur,908,50
Rangpur and Dinazpur district,909,50
Rangpur,910,50
Rangpur and Dinazpur district,911,50
Rangpur,912,50
Rangpur,913,50
Rangpur,914,50
Rangpur and Dinazpur district,915,50
Rangpur,916,50
Rangpur and Dinazpur district,917,50
Rangpur and Dinazpur district,918,50
Dhaka and Mymensingh,919,50
4 Upazillas of Chapai Nowabgonj and 2 Upazillas of Rajshahi.,920,50
4 Upazillas of Chapai Nowabgonj and 2 Upazillas of Rajshahi.,921,50
"Baneshar Bazar assesmble market of Rajshahi district. In contrast, the losses were lower in the surveyed markets of Chapai Nowabgonj,",922,50
"Chapai Nowabgonj, Dhaka and Mymensingh",923,50
Dhaka and Mymensingh,924,50
"Baneshar Bazar assesmble market of Rajshahi district. In contrast, the losses were lower in the surveyed markets of Chapai Nowabgonj,",925,50
"Chapai Nowabgonj, Dhaka and Mymensingh",926,50
Punjab,927,50
Uttar Pradesh,928,50
Saiss,929,504
"Tafilalet, Draa",930,504
"Tafilalet, Draa",931,504
Taounate,932,504
Midelt,933,504
Midelt,934,504
"Ait Baamrane, Rhamna",935,504
Settat,936,504
Settat,937,504
Settat,938,504
Processing unit in Mekn?s,939,504
Tadla,940,504
Settat,941,504
Casablanca,942,504
Meknes,943,504
CAM Ben Slimane,944,504
Bensilmane,945,504
Processing unit in Casablanca,946,504
Silo at the port of Casablanca,947,504
CAM Meknes,948,504
Meknes,949,504
Meknes,950,504
Tedla,951,504
CAM Meknes,952,504
Processing unit in Casablanca,953,504
Casablanca,954,504
Processing unit in Mekn?s,955,504
CAM Ben Slimane,956,504
Settat,957,504
Bensilmane,958,504
Settat,959,504
Meknes,960,504
Meknes,961,504
Meknes,962,504
Settat,963,504
Manica and Zambezia Provinces,964,508
Manica and Zambezia Provinces,965,508
Manica and Zambezia Provinces,966,508
Manica and Zambezia Provinces,967,508
Manica and Zambezia Provinces,968,508
Manica and Zambezia Provinces,969,508
Manica and Zambezia Provinces,970,508
Manica and Zambezia Provinces,971,508
Manica and Zambezia Provinces,972,508
Kosi Zone in the Eastern Hills,973,524
Kosi Zone in the Eastern Hills,974,524
Kosi Zone in the Eastern Hills,975,524
"Birgunj, Nepal to Patna",976,524
"Bhairahwa, Nepal to Gorakhpur, India",977,524
"Birtamod, Nepal to Silguri, India",978,524
"Birgunj, Nepal to Patna",979,524
"Birtamod, Nepal to Silguri, India",980,524
"Kapurkot, Salyan, Nepal to Azadpur market, New Delhi, India",981,524
"Kapurkot, Shalyan, Nepal to Sitapur market Lucknow, India",982,524
"Kapurkot, Salyan, Nepal to Azadpur market, New Delhi, India",983,524
Syangja (mid hills) to Butwal (markets in the plains),984,524
"Kapurkot, Shalyan, Nepal to Sitapur market Lucknow, India",985,524
"Kapurkot, Salyan, Nepal to Azadpur market, New Delhi, India",986,524
"Kapurkot, Shalyan, Nepal to Sitapur market Lucknow, India",987,524
"Birgunj, Nepal to Patna",988,524
"Birtamod, Nepal to Silguri, India",989,524
Jumla to Nepalgunj.,990,524
from Jumla,991,524
"Bhairahwa, Nepal to Gorakhpur, India",992,524
"Birgunj, Nepal to Patna",993,524
Jumla,994,524
"Bhairahwa, Nepal to Gorakhpur, India",995,524
"Kapurkot, Shalyan, Nepal to Sitapur market Lucknow, India",996,524
"Kapurkot, Salyan, Nepal to Azadpur market, New Delhi, India",997,524
"Kathmandu from Kapurkot, Salyan (western hills) and Lal Bandi, Sarlahi (Terai)",998,524
Dhankuta to Kathmandu by bus,999,524
Dhankuta to Kathmandu,1000,524
Tibet and Bangladesh,1001,524
Marpha to Pokhara,1002,524
Budhimorang and Khuaphok,1003,524
"Dhankuta District,",1004,524
Bhirgaon,1005,524
Chhintang,1006,524
Dhankuta District,1007,524
Maunabudhuk,1008,524
Dhankuta District,1009,524
Dhankuta District,1010,524
"Krishi Bazar, Dharan",1011,524
Khoku,1012,524
Dhankuta,1013,524
Krishi Bazar,1014,524
Krishi Bazar,1015,524
Fiji Export Market,1016,554
Fiji Export Market,1017,554
Fiji Export Market,1018,554
Niamey,1019,562
-,1020,566
"Mokwa, Lokoja (Guinea savanna), Onitsha and Aba (forest) area",1021,566
"Mokwa, Lokoja (Guinea savanna), Onitsha and Aba (forest) area",1022,566
"Mokwa, Lokoja (Guinea savanna), Onitsha and Aba (forest) area",1023,566
Northern,1024,566
Abavo,1025,566
Abavo,1026,566
"Rivers State A(Degema, Bonny, Port Harcourt); B(tai, omuma, oyigboo); C(ahoada West, Emohua)",1027,566
Kogi and Niger lowlands,1028,566
Kogi and Niger lowlands,1029,566
Kogi and Niger lowlands,1030,566
Kogi and Niger lowlands,1031,566
Kogi and Niger lowlands,1032,566
Kogi and Niger lowlands,1033,566
Kogi and Niger lowlands,1034,566
Kogi and Niger lowlands,1035,566
Kogi and Niger lowlands,1036,566
Kogi and Niger lowlands,1037,566
Kogi and Niger lowlands,1038,566
Kogi and Niger lowlands,1039,566
Kogi and Niger lowlands,1040,566
Kogi and Niger lowlands,1041,566
Kogi and Niger lowlands,1042,566
Kogi and Niger lowlands,1043,566
Ogun state,1044,566
Ogun state,1045,566
Northern Areas,1046,586
Northern Areas,1047,586
Northern Areas,1048,586
Northern Areas,1049,586
Northern Areas,1050,586
Northern Areas,1051,586
Northern Areas,1052,586
Northern region,1053,586
Northern region,1054,586
Northern region,1055,586
Northern region,1056,586
Northern region,1057,586
Northern region,1058,586
Northern region,1059,586
Northern region,1060,586
Northern region,1061,586
Northern region,1062,586
"Balochistan - Quetta, Pishin and Mastung districts",1063,586
"Balochistan - Quetta, Pishin and Mastung districts",1064,586
"Balochistan - Quetta, Pishin and Mastung districts",1065,586
"Balochistan - Quetta, Pishin and Mastung districts",1066,586
Punjab,1067,586
Punjab,1068,586
Sindh,1069,586
Sargodha,1070,586
Sargodha,1071,586
Sargodha,1072,586
Chiriqui,1073,591
Chiriqui,1074,591
Chiriqui,1075,591
Chiriqui,1076,591
Chiriqui,1077,591
Assam,1078,604
Selva and Coast Region,1079,604
Lima,1080,604
Lima,1081,604
Junin and Ayacucho,1082,604
"Mindanao, Philippines",1083,608
"Mindanao, Philippines",1084,608
"Mindanao, Philippines",1085,608
"Mindanao, Philippines",1086,608
"Mindanao, Philippines",1087,608
"Mindanao, Philippines",1088,608
"Mindanao, Philippines",1089,608
"grown in Tupi, South Cotabato, in Mindanao, and distributed in various supermarkets in Metro Manila",1090,608
Laguna,1091,608
Laguna,1092,608
Laguna,1093,608
Laguna,1094,608
Nueva,1095,608
Calabarzon,1096,608
Laguna,1097,608
Nueva,1098,608
"Orani, Bataan",1099,608
Oriental Mindoro,1100,608
"Orani, Bataan",1101,608
Blumentritt,1102,608
Bataan,1103,608
"Orani, Bataan",1104,608
Oriental Mindoro,1105,608
Divisoria,1106,608
Blumentritt,1107,608
Calabarzon,1108,608
Bataan,1109,608
Divisoria,1110,608
Baucau,1111,626
Baucau,1112,626
Baucau,1113,626
Baucau,1114,626
Baucau,1115,626
Baucau,1116,626
Baucau,1117,626
Bambey,1118,686
Bambey,1119,686
Bambey,1120,686
Bambey,1121,686
Bambey,1122,686
Bambey,1123,686
Bambey,1124,686
Bambey,1125,686
Louga,1126,686
Louga,1127,686
Louga,1128,686
Louga,1129,686
Louga,1130,686
Louga,1131,686
Louga,1132,686
Louga,1133,686
Louga,1134,686
Louga,1135,686
Mbire District,1136,716
Guruve District,1137,716
Mbire District,1138,716
Guruve District,1139,716
Guruve District,1140,716
Mbire District,1141,716
Mbire District,1142,716
Mbire District,1143,716
Guruve District,1144,716
Mbire District,1145,716
Guruve District,1146,716
Guruve District,1147,716
Mbire District,1148,716
Mbire District,1149,716
Mbire District,1150,716
Guruve District,1151,716
Guruve District,1152,716
Mbire District,1153,716
Guruwe District,1154,716
Guruve District,1155,716
Mbire District,1156,716
Mbire District,1157,716
Guruve District,1158,716
Mbire District,1159,716
Guruve District,1160,716
Guruwe District,1161,716
Mbire District,1162,716
Mbire District,1163,716
Mbire District,1164,716
Guruve District,1165,716
Guruve District,1166,716
Mbire District,1167,716
Guruve District,1168,716
Mbire District,1169,716
Mbire District,1170,716
Mbire District,1171,716
Guruwe District,1172,716
Mbire District,1173,716
Mbire District,1174,716
Mbire District,1175,716
Guruve District,1176,716
Mbire District,1177,716
Mbire District,1178,716
Guruve District,1179,716
Mbire District,1180,716
Mbire District,1181,716
Mbire District,1182,716
Mbire District,1183,716
Guruve District,1184,716
Mbire District,1185,716
Guruve District,1186,716
Guruve District,1187,716
Guruve District,1188,716
Mbire District,1189,716
Guruve District,1190,716
Mbire District,1191,716
Guruve District,1192,716
Guruve District,1193,716
Guruve District,1194,716
Mbire District,1195,716
Guruwe District,1196,716
Guruve District,1197,716
Mbire District,1198,716
Guruve District,1199,716
Guruve District,1200,716
Guruve District,1201,716
Guruve District,1202,716
Guruve District,1203,716
Mbire District,1204,716
Bizerte and Siliana,1205,788
Siliana,1206,788
Bizerte,1207,788
Apac Districy,1208,800
Lira District,1209,800
Lira District,1210,800
Apac and Lira districts,1211,800
Lira District,1212,800
Apac and Lira districts,1213,800
Apac and Lira districts,1214,800
Apac and Lira districts,1215,800
Apac District,1216,800
Apac District,1217,800
Apac District,1218,800
Apac and Lira districts (2015),1219,800
Apac and Lira districts (2015),1220,800
Apac and Lira districts (2015),1221,800
Apac and Lira districts (2015),1222,800
Apac and Lira districts (2015),1223,800
Apac and Lira districts (2015),1224,800
Oyam district,1225,800
Oyam district,1226,800
Oyam district,1227,800
Oyam district,1228,800
Oyam district,1229,800
Oyam district,1230,800
Oyam district,1231,800
Oyam district,1232,800
Oyam district,1233,800
Oyam district,1234,800
Oyam district,1235,800
Oyam district,1236,800
Oyam district,1237,800
Oyam district,1238,800
Upper,1239,818
Sharkia and Nubaria,1240,818
Sharkia and Nubaria,1241,818
Sharkia and Nubaria,1242,818
Nubaria,1243,818
Nubaria,1244,818
Nubaria,1245,818
Kariakoo Central Market,1246,834
Kariakoo Central Market,1247,834
Kariakoo Central Market,1248,834
Kariakoo Central Market,1249,834
Kariakoo Central Market,1250,834
Mkuyuni ward in Morogoro region,1251,834
Mkuyuni ward in Morogoro region,1252,834
Dodoma and Manyara,1253,834
Dodoma and Manyara,1254,834
Dodoma and Manyara,1255,834
Dodoma and Manyara,1256,834
Dodoma and Manyara,1257,834
Dodoma and Manyara,1258,834
Dodoma and Manyara,1259,834
Dodoma and Manyara,1260,834
Dodoma and Manyara,1261,834
Dodoma and Manyara,1262,834
Dodoma and Manyara,1263,834
Dodoma and Manyara,1264,834
Dodoma and Manyara,1265,834
Dodoma and Manyara,1266,834
Dodoma and Manyara,1267,834
"Chalinze, Lugoba and Kiwangwa",1268,834
"Chalinze, Lugoba and Kiwangwa",1269,834
"Chalinze, Lugoba and Kiwangwa",1270,834
Dodoma and Manyara,1271,834
Dodoma and Manyara,1272,834
Dodoma and Manyara,1273,834
Dodoma and Manyara,1274,834
Dodoma and Manyara,1275,834
Dodoma and Manyara,1276,834
Dodoma and Manyara,1277,834
Dodoma and Manyara,1278,834
Morogoro,1279,834
Morogoro,1280,834
Morogoro,1281,834
Morogoro,1282,834
Kiteto District,1283,834
Kiteto District,1284,834
Kiteto District,1285,834
Kiteto District,1286,834
Kiteto District,1287,834
Kiteto District,1288,834
Kilosa and Kondoa Districts,1289,834
Kilosa and Kondoa Districts,1290,834
Morogoro,1291,834
Morogoro,1292,834
Mbozi district,1293,834
Mbozi district,1294,834
Mbozi district,1295,834
Mbozi district,1296,834
Mbozi district,1297,834
Mbozi district,1298,834
Mbozi district,1299,834
Mbozi district,1300,834
Mbozi district,1301,834
Mbozi district,1302,834
"Chivuna,  Chalimbana,",1303,894
"Chivuna,  Chalimbana,",1304,894
"Chivuna,  Chalimbana,",1305,894
"Chivuna,  Chalimbana,",1306,894
"Chivuna,  Chalimbana,",1307,894
